title,link
Everything Everywhere All at Once (2022),https://www.imdb.com/title/tt6710474/reviews/?ref_=tt_ov_urv&sort=num_votes
Top Gun: Maverick (2022),https://www.imdb.com/title/tt1745960/reviews/?ref_=tt_ov_urv&sort=num_votes
The Batman (2022),https://www.imdb.com/title/tt1877830/reviews/?ref_=tt_ov_urv&sort=num_votes
Black Panther: Wakanda Forever (2022),https://www.imdb.com/title/tt9114286/reviews/?ref_=tt_ov_urv&sort=num_votes
Barbie (2023),https://www.imdb.com/title/tt1517268/reviews/?ref_=tt_ov_urv&sort=num_votes
Oppenheimer (2023),https://www.imdb.com/title/tt15398776/reviews/?ref_=tt_ov_urv&sort=num_votes
Spider-Man: Across the Spider-Verse (2023),https://www.imdb.com/title/tt9362722/reviews/?ref_=tt_ov_urv&sort=num_votes
Killers of the Flower Moon (2023),https://www.imdb.com/title/tt5537002/reviews/?ref_=tt_ov_urv&sort=num_votes
Dune: Part Two (2023),https://www.imdb.com/title/tt15239678/reviews/?ref_=tt_ov_urv&sort=num_votes
Guardians of the Galaxy Vol. 3 (2023),https://www.imdb.com/title/tt6791350/reviews/?ref_=tt_ov_urv&sort=num_votes
The Godfather (1972),https://www.imdb.com/title/tt0068646/reviews/?ref_=tt_ov_urv&sort=num_votes
Casablanca (1942),https://www.imdb.com/title/tt0034583/reviews/?ref_=tt_ov_urv&sort=num_votes
Schindler's List (1993),https://www.imdb.com/title/tt0108052/reviews/?ref_=tt_ov_urv&sort=num_votes
Psycho (1960),https://www.imdb.com/title/tt0054215/reviews/?ref_=tt_ov_urv&sort=num_votes
Gone with the Wind (1939),https://www.imdb.com/title/tt0031381/reviews/?ref_=tt_ov_urv&sort=num_votes
Citizen Kane (1941),https://www.imdb.com/title/tt0033467/reviews/?ref_=tt_ov_urv&sort=num_votes
12 Angry Men (1957),https://www.imdb.com/title/tt0050083/reviews/?ref_=tt_ov_urv&sort=num_votes
The Shawshank Redemption (1994),https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ov_urv&sort=num_votes
The Wizard of Oz (1939),https://www.imdb.com/title/tt0032138/reviews/?ref_=tt_ov_urv&sort=num_votes
Jaws (1975),https://www.imdb.com/title/tt0073195/reviews/?ref_=tt_ov_urv&sort=num_votes
