title,review_text,rating,date,user,movie_title,sentiment
Felt Like I Was Seeing the Inside of My Own Mind on Screen,"I have trouble turning off my brain. Anxieties, worries, mundane to-dos, even positive things, sometimes feel like they're swirling around in a chaotic funnel cloud and I would like nothing more than to sit in physical and mental silence.

""Everything Everywhere All At Once"" felt like the inside of my head. In a world of non-stop, 24/7 news, most of it bad, how is a person like me, who has trouble filtering out things that affect me directly from all of the other things that are just out there happening in general and over which I have no control, supposed to cope?

One answer is to decide that nothing matters anyway and give up caring. But that means deciding that my wife doesn't matter. And that my kids don't matter. And that art, and nature, and things that bring joy to my life, don't matter.

Another way is to decide that some things, ok maybe most things, don't matter, but that there are things that do, and those are the things that make it all worth it. I get to decide what those things are.

The first approach is nihilistic. The second approach is empowering. This film explores both approaches, and I was a sobbing mess at the end.

I will say there were times that I was a bit exhausted by this movie. It throws a lot on the screen and at the viewer, and occasionally it can't keep up with its ambitions. But this was mostly a home run.

Michell Yeoh does terrific work in this, but the MVP is Ke Huy Quan (Short Round from the ""Indiana Jones"" movies).

Grade: A.",9/10,24 May 2022,evanston_dad,Everything Everywhere All at Once (2022),POSITIVE
best film of 2022,"Profoundly deep, genuinely moving, utterly hilarious, highly imaginative and a visual feast. Haven't laughed this hard, cried this much or thought so deeply about any film in 2022 Much less all in the same viewing. This was indeed everything, everywhere all at once.
2,042 out of 3,449 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9/10,2 May 2022,movieman_kev,Everything Everywhere All at Once (2022),POSITIVE
"Don't do drugs, watch this instead.","If you take drugs for the first time and imagined Jackie Chan was a female Dr. Strange in another universe this would be it. And the synopsis is basically an Asian woman trying to do her taxes. I thought the third act of the movie felt a little stretched out but otherwise I think it's the best movie I've seen all year because I haven't laughed this much in any recent one. From the short time I spent in China, it's also an accurate and hilarious view of Chinese parents 'cause they really do be like that. I can't recommend it enough, it's so chaotic and in the middle of all that managed to be heartfelt too. I thought it was gonna be a Dr Strange wannabe but it's unique on it's own and I'm glad it was released earlier so that people don't compare them. It was just four people (strangers) in the cinema, we were laughing our asses off and it made me sad because everyone deserves to see this. At a time when remakes and reboots are common place it's nice to have something like this, a breath of fresh air.
952 out of 1,680 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9/10,8 April 2022,AfricanBro,Everything Everywhere All at Once (2022),POSITIVE
Fantastic,"""Be kind, especially when you don't know what's going on.""

If only we could recognize that those who combat us in life do so out of hidden pain, and fight them with kindness. If only we could accept our kids for who they are, and say supportive things from the heart instead of trying to mold them. If only we could be content with the life we have, and set aside the idea of the countless other lives we might have led, had we made different decisions along the way. If only we could see that the flipside to life being meaningless and everything ultimately being sucked into the abyss is the freedom that comes from that, that we can do anything with the time we've got.

Like the first word in its title, this film feels like everything. While watching it I thought Stephanie Hsu was everything too, but then again, so was Michelle Yeoh and Jamie Lee Curtis. The homage to Wong Kar-Wai with Ke Huy Quan making his enlightened speech is extraordinary, and the fact that James Hong was still getting it done at age 93 was wonderful. I also loved how both mother and daughter, troubled as they were with their upbringing, each found comfort in a kind and patient partner, and Tallie Medel's character was a nice touch.

The film threatens to go off the rails with its madcap multiverse hopping in the first part, but it's all a setup for the second part, which is incredibly powerful. It was impressive that it managed to be so entertaining along the way, with its fast-paced action and the wild ride it takes us on. It's one that rewards a rewatch to, as its full of little details and references. Just a great film, lots of fun, and from the heart.",10/10,20 April 2022,gbill-74877,Everything Everywhere All at Once (2022),POSITIVE
The most original film ever made. Period.,"Everything Everywhere All At Once is even crazier than the trailer would lead one to believe. It's bursting with so many original, weird concepts and ideas that no serious storyteller in their right mind would ever dare to put in their movie. But Daniels did. And it works with spectacularly effective results.

These filmmakers choose not only to put every bizarre idea they could think of into their movie, but they ensure that every oddity adds something to the thought-provoking, emotionally resonant themes that pervade the story. So many angles can be explored surrounding this story of emotional connection and the things that distract from it.

As Evelyn connects with her alternate selves and alternate relatives, there is both envy of and pity toward them that is explored. It's such a cathartic experience to watch this woman discover what she truly wants from life and loves about her life.

All of the beautiful themes and heartwarming character moments are just the tip of the iceberg here, though. This is one of the funniest movies I have ever seen.

The Daniels lean into the absurdity of the world that they have created, always reaching for the most outlandish possibilities and never playing it safe. It makes for some truly outstanding visual gags that will never leave my mind., and it makes for the most unique viewing experience I have ever had in my life.

This is a masterpiece of originality. There is not, nor will there ever be, a film quite like this one. And I cannot wait to watch it again and again and again.
1,508 out of 2,677 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10/10,31 March 2022,benjaminskylerhill,Everything Everywhere All at Once (2022),POSITIVE
This movie truly speaks for me,"I can understand why people may not get this movie, or cannot catch up with the plot. Even I was lost at some moments, but seriously, this movie is worth it.

As an Asian teenager with an awkward relationship with my mom, this movie more or less practically describes my life. Before watching this, my mental health was at my worst. I turned out to be a brat in result. Never wanting to socialise, rude to people, and I don't even acknowledge my faults when I do the mistakes. I was depressed wondering the meaning of life. This movie changed my whole mindset.

For a movie that had talking rocks and suspicious-looking trophies, I'm surprised I can be even EMOTIONAL at the very last few scenes. The messages... be kind to people, live up to your fullest and to your best because why not? Nothing matters, right? After that day, I try to improve myself, you know. Think before I act, not try to be cocky all the time, be less toxic around people and my loved ones. And overall, 2022 and 2023 got so much better for me. My school performance improved and so did my social life.

And I hope it forever will improve the lives of other people too. Thanks for reading.
42 out of 64 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10/10,1 March 2024,justdan2023,Everything Everywhere All at Once (2022),POSITIVE
The best acid trip experience that can only be felt once in a lifetime!,"Most of us who are mindful of the film can agree on one thing, Everything Everywhere All at Once feels like you're walking on an acid trip experience. It's an imaginary film that makes you feel like you had just swallowed a bottle of limitless pills, dopes, drugs or other substances that may similarly affect your consciousness and memories.

And this movie deliversssssssssss that! Wow wow wow! Imagine if Dr Strange, Limitless, The Matrix, Click, Rick & Morty, Star Wars, Ratatouille and Manchester By the Sea combined to become a film, Everything Everywhere All at Once is the one! Now you must be wondering, how could Ratatouille and The Matrix complement each other to be in the same movie? 🤣🤣🤣 This question should be THE reason you should go support this film now in cinemas!

Produced by A24, an independent film company, I was surprised at how they have pulled this off. Half of the film is located at an office, which is understandable considering A24 produces low or semi-budget films. But it's such a wonder how this movie could be so good with only so few places the movie took place for the first hour. What's even better is EEAAO occurred within closed and overcrowded spaces that may slightly trigger people experiencing ADHD, hypersensitivity and claustrophobia, pushing the film into maximum impact.

This film is filled with action-packed sequences that will blow you brains out! It's fun, exhilarating, creative, hilarious and never-been-done-before! Adding up with the out-of-the-world concept and unique storyline, every fighting scene seems appropriately done and even if there's just so many styles and tones of scenes coming out from the screen, fitting is the right word to describe them.

EEAAO seems like any other movie at the beginning but when all hell breaks loose, the story becomes increasingly complex as it explains the world revolving around the central character, propelling the plot into motion. Meticulously explained, the narrative manages to be exciting and outrageously wild but reasonable within its own multiverse contexts.

Michelle Yeoh, our Malaysian actress 👏🏻👏🏻👏🏻, is excellent in this, proving that she's fluid in bringing out the best of her multiple character(s). Complicated as it is, she knew what kind of project she's doing and it just shows how dedicated she is at acting. It's not easy to play her role and it's definitely not easy to create multiple personas interconnected by different universes and dimensions, with separate storylines, all destined to have the same fate. This is an Oscar-worthy performance, and whether or not if Yeoh got nominated lies on the decision if the Oscar recognizes speculative fiction as a genre acceptable to compete with other highly-appraisal films.

There were many genuinely laugh-out-loud moments throughout, NOT the one where you're forced to laugh just because everyone is laughing to avoid the awkwardness surrounding the audience in the hall, but the one that it's just funny you're having a truly good time. The script and performance help to amplify the comedic moment but the most special thing is that it's aware of its VFX effects and the team knows how to level up/down the intensity and realness of the CGI. How so? The CGI is very good, but there are times that the CGI is made to be purposely bad, like you're watching a short film by a bunch of ambitious varsity students, and it works! It works because everyone in the theater was laughing, it clicks just right with the moments and scenes you're watching. You'll laugh at how bad it is in a good way!

If there's one dislike from this film is that it's gonna be a tough watch for some people. Like mentioned earlier, those with ADHD and hypersensitivity may be triggered with the intensity of this film. Also, the storyline is difficult for some to digest due to its complexity of its universe-building. The film is promoted as being light and fun but...EEAAO is weighty, dark, bizarre and surreal, only those who have what it takes can appropriately understand the building block storytelling.

Verdict: Mind-bending and mind-blowing, Everything Everywhere All at Once masters its building block storytelling that feels like an acid trip worth experiencing and that experience... can only be felt once in a lifetime. We're only in March but without a doubt, this is already the best film of the year! Sorry, summer blockbuster movies!",9/10,25 March 2022,iamianiman,Everything Everywhere All at Once (2022),POSITIVE
This is the best movie of the year?!,"Ok, the movie contains a lot, a lot. It contains impressive action, drama, SF, humor as well as numerous incredible scenes and shots. I give him a big plus for his incredible originality and idea. However, for me personally, the film was a little too much, to put it that way. In the context of the Oscars, it's also incredible to me that the film picked up so many important awards. Is this the best movie of the year?! Reading numerous reviews and comments, it's clear to me that I'm in the minority and that's why I'm surprised by all the hype surrounding the film. For some, this is even one of the best films ever made. Due to these expectations, I have to admit that the film did not impress me at all. It's not a problem for me to admit that it's up to me and that I can't understand the magnitude of the film, which will obviously be a cult classic tomorrow. But I am surprised that such a strange film won over so many people.
262 out of 395 found this helpful. Was this review helpful? Sign in to vote.
Permalink",6/10,18 November 2023,ivanmessimilos,Everything Everywhere All at Once (2022),POSITIVE
Absolute Stunner of a Film - Sure to Be 2022's Best,"2022 is not even halfway over, but I saw Everything, Everywhere last night, and I simply cannot imagine it not being the best film of 2022.

To say I was stunned is an understatement. I am 37 years old and have been a movie buff since I was a child. Movies are my passion - classic cinema, international cinema, domestic cinema. I see at least 30+ movies in theaters every year from all counties and compile a top 10 list of my favorite films.

I can count on both hands the number of times I have sat in a movie theater slackjawed and stunned, unable to move as credits rolled on a film. I can count on one hand the number of times this has occurred to not only me but the audience with whom I've watched a movie. I have also only seen a few movies where the audience erupted in applause during the credits - rapturous, earnest, sustained cheering.

Last night's screening of Everything, Everywhere falls into the latter category. As credits rolled, no one moved in a sold-out IMAX theater. We all sat and stared at the screen in awe before eventually cheering and clapping.

This is a special movie, a miracle of a film, the type of lightning-in-a-bottle motion picture that comes along once in a blue moon to blow your mind and annihilate your heart with its boundless, bursting soul, energy, spirit, and creativity.

In all my movie-watching years, I have never seen anything like it. The closest comparison I can muster is Eternal Sunshine of the Spotless Mind. There are many similarities between both films' unhinged, creative expression as well as their ultimate message of persistence and living life in spite of seemingly insurmountable odds and the inevitably that all things, both good and bad, will eventually come to a crashing end when the curtains on our lives close.

Michelle Yeoh is remarkable and delivers a knockout performance that will surely garner plenty of awards attention. It's hard to imagine many actresses who could have so effortlessly kept step with such a demanding role, but she coasts through drama, comedy, action, and sci-fi with a verve and energy that left me breathless. It's the fiercest performance I've seen from one of the best actresses of our time and one of the best performances I've seen in years.

As for the movie itself, really the less you know going in, the better. I saw the trailer two or three times prior to watching the film, and it did little to spoil the experience. I really do recommend going in blind, though.

I don't rate many movies a 10/10. I also rarely leave theaters feeling the way I felt last night: dizzy on the possibilities of cinema and lost in thought over all I had just experienced. Even as I write this, I cannot wait to see the movie again with new people so they can experience just how special this is.

Everything, Everywhere dazzles with its creative vision, but it marries the bizarre and magical with the mundane and the ordinary to make a statement about human potential and how often we let our daydreams - what could have been, should have been, will or won't be - roadblock who we are. The movie obliterates the veil of ordinary to reveal the extraordinary, but it never loses itself within its relentless, wacky, metaphysical vision.

Quite the contrary, really. When the dust settles by the end of the film, you feel like you have been taken somewhere new - to a place only the best films can take us - and are reminded that even though we might not matter in the grand scheme of the universe, there are kind things we can do - to one another and ourselves - to make the pain and joy of being human mean...something.

And at the end of the day, maybe that's everything.",10/10,31 March 2022,paulbrobertson,Everything Everywhere All at Once (2022),POSITIVE
"I don't get the hype, it really was just so so","Starting with what I did enjoy about this movie.

1. The setting of this movie was indeed a more accurate representation of an Asian American household. The family dynamics sounds about right. I like that Asians are getting more spotlight.

2. The concept/theme of this movie is rather novel and therefore interesting. Although I think it could have been played out much more sophisticatedly.

3. The parent-child relationship is well portrayed. The perceived lack of validation from parents felt by the child, the poorly communicated love of the parent, the process of gaining awareness and emotional growth for both the parent and child is inspiring.

Things I didn't like 1. It is a very bizarre movie, you could even say chaotic. It's as if they tried to combine every single meaningless detail together and gave up filtering out what's actually worth or necessary to the main plot. Tried too hard to make it funny/original/emotional/relatable that it ends up being neither of those things very well.

2. The movie is also unnecessarily long.

Those two points combined makes this movie just a long, confusing, and sometimes boring mess. The novelty makes it watchable/bearable, but to me, it's nothing more than that.",6/10,5 May 2022,evetonemesis,Everything Everywhere All at Once (2022),NEGATIVE
